time,open,high,low,close,volume
2026-06-30T18:46:00Z,746.93,747.02,746.86,746.99,70051
2026-06-30T18:48:00Z,747,747.35,747,747.33,129180
2026-06-30T18:50:00Z,747.32,747.44,747.24,747.29,154118
2026-06-30T18:52:00Z,747.29,747.32,747.22,747.32,105432
2026-06-30T18:54:00Z,747.31,747.31,747,747.19,109073
2026-06-30T18:56:00Z,747.19,747.33,747.17,747.23,109021
2026-06-30T18:58:00Z,747.25,747.28,747.09,747.13,154764
2026-06-30T19:00:00Z,747.13,747.37,747.11,747.33,128270
2026-06-30T19:02:00Z,747.32,747.4,747.22,747.25,110601
2026-06-30T19:04:00Z,747.25,747.29,747.19,747.19,120108
2026-06-30T19:06:00Z,747.2,747.25,747.13,747.25,107581
2026-06-30T19:08:00Z,747.25,747.6,747.23,747.5,157138
2026-06-30T19:10:00Z,747.5,747.72,747.32,747.6,194812
2026-06-30T19:12:00Z,747.59,747.75,747.57,747.73,143438
2026-06-30T19:14:00Z,747.7,747.78,747.61,747.68,137912
2026-06-30T19:16:00Z,747.67,747.93,747.65,747.87,246612
2026-06-30T19:18:00Z,747.86,748.02,747.6,747.62,273707
2026-06-30T19:20:00Z,747.64,747.8,747.53,747.54,350514
2026-06-30T19:22:00Z,747.53,747.79,747.47,747.75,149217
2026-06-30T19:24:00Z,747.75,747.77,747.56,747.64,143940
2026-06-30T19:26:00Z,747.64,747.66,747.5,747.62,222013
2026-06-30T19:28:00Z,747.62,747.63,747.3,747.42,315844
2026-06-30T19:30:00Z,747.43,747.49,747.21,747.3,256260
2026-06-30T19:32:00Z,747.3,747.46,747.29,747.33,263525
2026-06-30T19:34:00Z,747.33,747.36,747.02,747.02,177828
2026-06-30T19:36:00Z,747.01,747.01,746.76,746.79,232947
2026-06-30T19:38:00Z,746.79,746.98,746.73,746.93,187319
2026-06-30T19:40:00Z,746.92,747.07,746.83,746.9,285911
2026-06-30T19:42:00Z,746.89,747.03,746.81,746.89,265697
2026-06-30T19:44:00Z,746.89,747.35,746.83,746.84,306505
2026-06-30T19:46:00Z,746.84,747.03,746.81,746.91,276421
2026-06-30T19:48:00Z,746.91,747.05,746.86,746.91,298398
2026-06-30T19:50:00Z,746.9,746.98,746.67,746.93,579620
2026-06-30T19:52:00Z,746.93,747.36,746.84,747.31,409479
2026-06-30T19:54:00Z,747.3,747.81,747.27,747.46,942917
2026-06-30T19:56:00Z,747.46,747.85,747.43,747.76,1338897
2026-06-30T19:58:00Z,747.76,747.86,746.3,746.36,3784937
2026-07-01T13:30:00Z,744.96,745.16,743.48,743.95,824532
2026-07-01T13:32:00Z,743.99,744.54,743.02,743.02,468500
2026-07-01T13:34:00Z,743.03,743.22,742.37,742.61,323061
2026-07-01T13:36:00Z,742.61,743.41,742.48,742.91,308582
2026-07-01T13:38:00Z,742.96,743.41,742.59,743.07,332788
2026-07-01T13:40:00Z,743.12,743.75,742.78,743.37,338109
